epoch,loss,test-acc,SA1_max,SA1_min,SA2_max,SA2_min,SB_max,SB_min
51,1.6766121616363525,40.29,1.317e-42,0.022499159,3.19586e-40,0.61742437,9.61e-43,1.4170581
52,1.6758491695721944,41.31,8.3e-44,0.027763287,3.1199774e-37,0.6202094,9.61e-43,1.4225552
53,1.674616999944051,41.12,3.548e-42,0.033022378,1.9011e-41,0.6176108,3.35e-43,1.4161985
54,1.6753482009569804,40.65,1.788e-42,0.022423727,3.4798e-41,0.62351984,9.61e-43,1.4183441
55,1.6727964701652527,41.54,2.47e-43,0.014585309,1.5672254e-38,0.62748575,9.61e-43,1.4305711
56,1.6743577704429626,41.7,2.47e-43,0.008745877,7.1543063e-38,0.64110184,9.61e-43,1.4177594
57,1.674215014139811,40.49,5.7e-44,0.024374992,2.1565598e-37,0.64177966,7.7e-43,1.4217217
58,1.6707653921445211,40.8,2.47e-43,0.011770826,6.328822e-36,0.639831,1.05e-43,1.4279897
59,1.6720320822397867,39.85,5.3e-44,0.022414,2.6287443e-36,0.6488325,9.61e-43,1.4115809
60,1.6687106828689575,40.95,6.75e-43,0.017771395,6.79822e-40,0.6469095,9.61e-43,1.4276166
61,1.6664313359260559,41.23,6.75e-43,0.005133666,4.1781e-41,0.65926653,9.61e-43,1.415593
62,1.66494277938207,41.63,1.45e-42,0.009979883,4.6635e-41,0.6587093,9.61e-43,1.4116224
63,1.6686393699645996,41.69,1.242e-42,0.034494556,3.98744e-40,0.6582499,9.61e-43,1.4126471
64,1.6699586464564005,40.21,6.417e-41,0.024143863,6.6967964e-37,0.66234607,1.01e-43,1.4253627
65,1.6707087551752726,40.22,4.93697e-40,0.0444522,1.9292911e-34,0.6611892,9.61e-43,1.4233191
66,1.665624742348989,41.43,2.48e-43,0.015014305,5.465653e-36,0.66416913,2.8e-44,1.4572299
67,1.6674938394228618,40.41,6.9e-43,0.007685294,3.2715236e-37,0.6589514,8.4e-44,1.4607594
68,1.6666291931470236,39.27,5.567e-42,0.012455996,6.42998e-40,0.6631457,3.5e-44,1.4425867
69,1.6634728660583495,41.11,1.57e-43,0.015234402,4.44142e-40,0.6713679,9.61e-43,1.4425848
70,1.6669470313390096,39.99,7.34e-43,0.08481341,1.093129e-39,0.6599419,9.61e-43,1.4522709
71,1.662575250943502,41.69,8.722e-42,0.022346338,8.65e-43,0.667359,9.61e-43,1.4398167
72,1.6651168570518493,41.22,4.624e-42,0.01647402,8.65e-43,0.6684257,8.73e-43,1.4464681
73,1.6655225048065185,40.63,9.14e-43,0.016408084,8.65e-43,0.6630126,9.61e-43,1.4445654
74,1.6630243233044941,41.38,3.824e-42,0.016696535,1.95586e-40,0.6783822,5e-44,1.448624
75,1.6655924784342448,40.79,8.17e-43,0.03556732,1.5353731e-37,0.67546815,9.61e-43,1.4553353
76,1.6621599225997925,41.25,1.22e-43,0.018144581,4.720923e-38,0.6739286,2.8e-44,1.4459056
77,1.6639836656252542,41.4,3.01e-43,0.01828433,2.6855e-40,0.6827187,2e-44,1.457652
